내가 쓸 변수명,2021 변수명
Q9_1,Q9_1
Q10,Q10
Q11_1_A,Q11_1_A
Q11_2_A,Q11_2_A
Q11_3_A,Q11_3_A
Q11_1_B,Q11_1_B
Q11_2_B,Q11_2_B
Q11_3_B,Q11_3_B
Q11_1_C,Q11_1_C
Q11_2_C,Q11_2_C
Q11_3_C,Q11_3_C
Q11_1_D,Q11_1_D
Q11_2_D,Q11_2_D
Q11_3_D,Q11_3_D
Q11_1_E,Q11_1_E
Q11_2_E,Q11_2_E
Q11_3_E,Q11_3_E
Q11_1_F,Q11_1_F
Q11_2_F,Q11_2_F
Q11_3_F,Q11_3_F
Q11_1_G,Q11_1_G
Q11_2_G,Q11_2_G
Q11_3_G,Q11_3_G
Q11_1_H,Q11_1_H
Q11_2_H,Q11_2_H
Q11_3_H,Q11_3_H
Q12_1_A,Q12_1_A
Q12_2_A,Q12_2_A
Q12_3_A,Q12_3_A
Q12_1_B,Q12_1_B
Q12_2_B,Q12_2_B
Q12_3_B,Q12_3_B
Q12_1_C,Q12_1_C
Q12_2_C,Q12_2_C
Q12_3_C,Q12_3_C
Q12_1_D,Q12_1_D
Q12_2_D,Q12_2_D
Q12_3_D,Q12_3_D
Q12_1_E,Q12_1_E
Q12_2_E,Q12_2_E
Q12_3_E,Q12_3_E
Q12_1_F,Q12_1_F
Q12_2_F,Q12_2_F
Q12_3_F,Q12_3_F
Q12_1_G,Q12_1_G
Q12_2_G,Q12_2_G
Q12_3_G,Q12_3_G
Q12_1_H,Q12_1_H
Q12_2_H,Q12_2_H
Q12_3_H,Q12_3_H
Q13_1_1,Q13_1_1
Q13_2_1,Q13_2_1
Q13_3_1,Q13_3_1
Q13_4_1,Q13_4_1
Q13_1_2,Q13_1_2
Q13_2_2,Q13_2_2
Q13_3_2,Q13_3_2
Q13_4_2,Q13_4_2
Q16_1,Q16
Q16_2,Q16_M2
Q16_3,Q16_M3
Q17_1,Q17
Q17_2,Q17_M2
Q17_3,Q17_M3
Q18_1,Q18_1
Q18_2,Q18_2
Q18_3,Q18_3
Q18_4,Q18_4
Q19,Q19
Q20,Q20
Q22,Q22
Q22_1,Q22_1
Q24_1,Q24_1
Q24_2,Q24_2
Q25,Q25
Q26_1,Q26_1
Q26_2,Q26_2
Q26_3,Q26_3
Q26_4,Q26_4
Q26_5,Q26_5
Q26_6,Q26_6
Q26_7,Q26_7
Q26_1_1,Q26_1_N2
Q26_1_2,Q26_1_N2_M2
Q26_1_3,Q26_1_N2_M3
Q27_1,Q27_1
Q27_2,Q27_2
Q27_3,Q27_3
Q27_4,Q27_4
Q27_5,Q27_5
Q27_6,Q27_6
Q27_7,Q27_7
Q28,Q28
Q30,Q30
Q30_1,Q30_1
Q31,Q31
Q32,Q32
현재 행복 수준,Q33
Q34,Q34
재직여부,Q36
Q37,Q37
Q37_1_1_1,Q37_1_1
Q37_1_1_2,Q37_1_1_M2
Q37_1_1_3,Q37_1_1_M3
Q37_1_1_4,Q37_1_1_M4
Q37_1_1_5,Q37_1_1_M5
Q37_1_1_6,Q37_1_1_M6
Q37_1_1_7,Q37_1_1_M7
Q37_1_1_8,Q37_1_1_M8
Q37_1_1_9,Q37_1_1_M9
Q37_1_1_10,Q37_1_1_M10
Q37_1_1_11,Q37_1_1_M11
Q37_1_1_12,Q37_1_1_M12
Q37_1_1_13,Q37_1_1_M13
Q37_1_1_14,Q37_1_1_M14
Q37_1_1_15,Q37_1_1_M15
Q37_2_1,Q37_2_1
Q37_1_2_1,Q37_1_2
Q37_1_2_2,Q37_1_2_M2
Q37_1_2_3,Q37_1_2_M3
Q37_1_2_4,Q37_1_2_M4
Q37_1_2_5,Q37_1_2_M5
Q37_1_2_6,Q37_1_2_M6
Q37_1_2_7,Q37_1_2_M7
Q37_1_2_8,Q37_1_2_M8
Q37_1_2_9,Q37_1_2_M9
Q37_1_2_10,Q37_1_2_M10
Q37_1_2_11,Q37_1_2_M11
Q37_1_2_12,Q37_1_2_M12
Q37_1_2_13,Q37_1_2_M13
Q37_1_2_14,Q37_1_2_M14
Q37_1_2_15,Q37_1_2_M15
Q37_2_2,Q37_2_2
Q38_1,Q38
Q38_2,Q38_M2
Q38_3,Q38_M3
SEX,DM1
AGE,DM2
Q49_1,Q49_1
Q49_2,Q49_2
DM11,DM11
DM11_1,DM11_1
